,,constrained_beds
min,Lewisham SU,59.0
min,N Middlesex SU,58.0
min,Newham General SU,63.0
min,Northwick Park SU,91.0
min,St Helier SU,57.0
mean,Lewisham SU,76.66666666666667
mean,N Middlesex SU,83.2
mean,Newham General SU,80.06666666666666
mean,Northwick Park SU,104.4
mean,St Helier SU,73.2
median,Lewisham SU,76.5
median,N Middlesex SU,83.5
median,Newham General SU,79.0
median,Northwick Park SU,104.0
median,St Helier SU,72.5
max,Lewisham SU,89.0
max,N Middlesex SU,97.0
max,Newham General SU,97.0
max,Northwick Park SU,125.0
max,St Helier SU,86.0
percentile_95,Lewisham SU,89.0
percentile_95,N Middlesex SU,97.0
percentile_95,Newham General SU,96.0
percentile_95,Northwick Park SU,123.0
percentile_95,St Helier SU,86.0
