,,constrained_beds
min,Lewisham SU,57.30337078651685
min,N Middlesex SU,52.57731958762887
min,Newham General SU,46.391752577319586
min,Northwick Park SU,56.34920634920635
min,St Helier SU,54.65116279069767
mean,Lewisham SU,87.2764865835558
mean,N Middlesex SU,84.18744998352584
mean,Newham General SU,80.9646471778952
mean,Northwick Park SU,84.5327245053282
mean,St Helier SU,85.83264309227962
median,Lewisham SU,87.64044943820225
median,N Middlesex SU,84.5360824742268
median,Newham General SU,81.44329896907216
median,Northwick Park SU,84.12698412698413
median,St Helier SU,86.04651162790698
max,Lewisham SU,100.0
max,N Middlesex SU,100.0
max,Newham General SU,100.0
max,Northwick Park SU,100.0
max,St Helier SU,100.0
percentile_95,Lewisham SU,100.0
percentile_95,N Middlesex SU,98.96907216494846
percentile_95,Newham General SU,95.87628865979381
percentile_95,Northwick Park SU,96.82539682539682
percentile_95,St Helier SU,100.0
