LSOA,CCG,stp,nhs_region,admissions
Bromley 031C,NHS Bromley CCG,South East London,London,2.4
Bromley 025A,NHS Bromley CCG,South East London,London,1.37
Bromley 025B,NHS Bromley CCG,South East London,London,2.74
Bromley 022C,NHS Bromley CCG,South East London,London,0.69
Bromley 025E,NHS Bromley CCG,South East London,London,1.37
Bromley 028B,NHS Bromley CCG,South East London,London,1.71
Bromley 023E,NHS Bromley CCG,South East London,London,3.43
Bromley 014D,NHS Bromley CCG,South East London,London,4.8
Bromley 014E,NHS Bromley CCG,South East London,London,1.71
Bromley 014B,NHS Bromley CCG,South East London,London,4.8
Bromley 023C,NHS Bromley CCG,South East London,London,2.06
Bromley 014A,NHS Bromley CCG,South East London,London,1.03
Bromley 010D,NHS Bromley CCG,South East London,London,2.4
Bromley 010C,NHS Bromley CCG,South East London,London,2.06
Bromley 014C,NHS Bromley CCG,South East London,London,2.06
Bromley 019A,NHS Bromley CCG,South East London,London,1.37
Bromley 023A,NHS Bromley CCG,South East London,London,1.71
Bromley 019E,NHS Bromley CCG,South East London,London,2.06
Bromley 019C,NHS Bromley CCG,South East London,London,0.69
Bromley 023B,NHS Bromley CCG,South East London,London,5.49
Bromley 019D,NHS Bromley CCG,South East London,London,2.4
Bromley 029B,NHS Bromley CCG,South East London,London,4.11
Bromley 019B,NHS Bromley CCG,South East London,London,1.03
Bromley 032B,NHS Bromley CCG,South East London,London,2.4
Bromley 029A,NHS Bromley CCG,South East London,London,3.09
Bromley 029E,NHS Bromley CCG,South East London,London,1.71
Bromley 029C,NHS Bromley CCG,South East London,London,3.09
Bromley 032C,NHS Bromley CCG,South East London,London,1.71
Bromley 028E,NHS Bromley CCG,South East London,London,0.69
Bromley 028A,NHS Bromley CCG,South East London,London,1.71
Bromley 028C,NHS Bromley CCG,South East London,London,2.74
Bromley 029D,NHS Bromley CCG,South East London,London,2.06
Bromley 028D,NHS Bromley CCG,South East London,London,1.37
Bromley 036A,NHS Bromley CCG,South East London,London,3.09
Bromley 037D,NHS Bromley CCG,South East London,London,2.4
Bromley 037E,NHS Bromley CCG,South East London,London,2.06
Bromley 037C,NHS Bromley CCG,South East London,London,1.03
Bromley 036C,NHS Bromley CCG,South East London,London,3.77
Bromley 036D,NHS Bromley CCG,South East London,London,2.4
Bromley 042B,NHS Bromley CCG,South East London,London,5.14
Bromley 037A,NHS Bromley CCG,South East London,London,4.46
Bromley 036B,NHS Bromley CCG,South East London,London,2.74
Bromley 031D,NHS Bromley CCG,South East London,London,1.03
Bromley 031B,NHS Bromley CCG,South East London,London,3.43
Bromley 033D,NHS Bromley CCG,South East London,London,2.4
Bromley 031A,NHS Bromley CCG,South East London,London,2.4
Bromley 032D,NHS Bromley CCG,South East London,London,2.4
Bromley 032A,NHS Bromley CCG,South East London,London,3.09
Bromley 037B,NHS Bromley CCG,South East London,London,2.4
Bromley 035E,NHS Bromley CCG,South East London,London,4.46
Bromley 032E,NHS Bromley CCG,South East London,London,1.71
Bromley 035D,NHS Bromley CCG,South East London,London,2.06
Bromley 035B,NHS Bromley CCG,South East London,London,3.09
Bromley 035A,NHS Bromley CCG,South East London,London,2.74
Bromley 031E,NHS Bromley CCG,South East London,London,1.37
Bromley 035C,NHS Bromley CCG,South East London,London,2.4
Bromley 007D,NHS Bromley CCG,South East London,London,1.71
Bromley 007C,NHS Bromley CCG,South East London,London,2.4
Bromley 007F,NHS Bromley CCG,South East London,London,1.71
Bromley 007A,NHS Bromley CCG,South East London,London,2.06
Bromley 007E,NHS Bromley CCG,South East London,London,2.74
Bromley 002D,NHS Bromley CCG,South East London,London,1.71
Bromley 002E,NHS Bromley CCG,South East London,London,0
Bromley 002B,NHS Bromley CCG,South East London,London,1.71
Bromley 002C,NHS Bromley CCG,South East London,London,2.06
Bromley 002A,NHS Bromley CCG,South East London,London,2.4
Bromley 010A,NHS Bromley CCG,South East London,London,4.46
Bromley 010B,NHS Bromley CCG,South East London,London,2.06
Croydon 036B,NHS Croydon CCG,South West London,London,2.74
Croydon 036D,NHS Croydon CCG,South West London,London,3.77
Croydon 036C,NHS Croydon CCG,South West London,London,3.09
Croydon 032E,NHS Croydon CCG,South West London,London,1.37
Croydon 036A,NHS Croydon CCG,South West London,London,1.37
Croydon 032D,NHS Croydon CCG,South West London,London,2.06
Croydon 032C,NHS Croydon CCG,South West London,London,0.69
Croydon 032A,NHS Croydon CCG,South West London,London,2.4
Croydon 030D,NHS Croydon CCG,South West London,London,1.03
Croydon 032B,NHS Croydon CCG,South West London,London,2.4
Croydon 030E,NHS Croydon CCG,South West London,London,2.4
Croydon 022A,NHS Croydon CCG,South West London,London,1.03
Croydon 027D,NHS Croydon CCG,South West London,London,2.06
Croydon 027B,NHS Croydon CCG,South West London,London,2.06
Croydon 024D,NHS Croydon CCG,South West London,London,0.34
Croydon 024B,NHS Croydon CCG,South West London,London,2.74
Croydon 020D,NHS Croydon CCG,South West London,London,3.43
Croydon 013B,NHS Croydon CCG,South West London,London,1.37
Croydon 020E,NHS Croydon CCG,South West London,London,3.09
Croydon 013F,NHS Croydon CCG,South West London,London,1.71
Croydon 013E,NHS Croydon CCG,South West London,London,1.37
Croydon 027C,NHS Croydon CCG,South West London,London,1.71
Croydon 015A,NHS Croydon CCG,South West London,London,1.03
Croydon 015C,NHS Croydon CCG,South West London,London,2.74
Croydon 015B,NHS Croydon CCG,South West London,London,1.03
Croydon 016C,NHS Croydon CCG,South West London,London,2.06
Croydon 016B,NHS Croydon CCG,South West London,London,2.74
Croydon 016A,NHS Croydon CCG,South West London,London,4.11
Croydon 016E,NHS Croydon CCG,South West London,London,1.37
Croydon 019E,NHS Croydon CCG,South West London,London,1.37
Croydon 019B,NHS Croydon CCG,South West London,London,2.74
Croydon 015E,NHS Croydon CCG,South West London,London,2.06
Croydon 019C,NHS Croydon CCG,South West London,London,2.06
Croydon 019A,NHS Croydon CCG,South West London,London,1.71
Croydon 024A,NHS Croydon CCG,South West London,London,1.71
Croydon 020B,NHS Croydon CCG,South West London,London,1.37
Croydon 028B,NHS Croydon CCG,South West London,London,1.03
Croydon 024C,NHS Croydon CCG,South West London,London,2.4
Croydon 024E,NHS Croydon CCG,South West London,London,1.71
Sutton 011E,NHS Sutton CCG,South West London,London,4.8
Croydon 028A,NHS Croydon CCG,South West London,London,2.06
Sutton 011C,NHS Sutton CCG,South West London,London,1.03
Sutton 011B,NHS Sutton CCG,South West London,London,1.71
Croydon 028D,NHS Croydon CCG,South West London,London,2.74
Croydon 019D,NHS Croydon CCG,South West London,London,2.4
Sutton 011A,NHS Sutton CCG,South West London,London,1.71
Croydon 026C,NHS Croydon CCG,South West London,London,3.77
Croydon 023C,NHS Croydon CCG,South West London,London,2.06
Croydon 026A,NHS Croydon CCG,South West London,London,1.71
Croydon 026B,NHS Croydon CCG,South West London,London,2.4
Croydon 023B,NHS Croydon CCG,South West London,London,2.06
Croydon 023A,NHS Croydon CCG,South West London,London,2.4
Croydon 023D,NHS Croydon CCG,South West London,London,4.11
Croydon 022C,NHS Croydon CCG,South West London,London,2.4
Croydon 017C,NHS Croydon CCG,South West London,London,1.03
Croydon 022F,NHS Croydon CCG,South West London,London,3.09
Croydon 017A,NHS Croydon CCG,South West London,London,0.34
Croydon 017E,NHS Croydon CCG,South West London,London,1.03
Croydon 017B,NHS Croydon CCG,South West London,London,1.03
Croydon 017D,NHS Croydon CCG,South West London,London,2.06
Croydon 021D,NHS Croydon CCG,South West London,London,1.37
Croydon 022B,NHS Croydon CCG,South West London,London,2.74
Croydon 022D,NHS Croydon CCG,South West London,London,1.71
Croydon 022E,NHS Croydon CCG,South West London,London,0.69
Croydon 014E,NHS Croydon CCG,South West London,London,2.4
Croydon 045A,NHS Croydon CCG,South West London,London,1.37
Croydon 014A,NHS Croydon CCG,South West London,London,3.77
Croydon 021C,NHS Croydon CCG,South West London,London,2.4
Croydon 021B,NHS Croydon CCG,South West London,London,1.37
Croydon 021A,NHS Croydon CCG,South West London,London,2.74
Croydon 018D,NHS Croydon CCG,South West London,London,2.74
Croydon 018B,NHS Croydon CCG,South West London,London,4.46
Croydon 018A,NHS Croydon CCG,South West London,London,1.37
Croydon 045E,NHS Croydon CCG,South West London,London,2.4
Croydon 018C,NHS Croydon CCG,South West London,London,1.03
Croydon 025A,NHS Croydon CCG,South West London,London,2.06
Croydon 026E,NHS Croydon CCG,South West London,London,4.46
Croydon 025D,NHS Croydon CCG,South West London,London,1.71
Croydon 025C,NHS Croydon CCG,South West London,London,1.71
Croydon 025B,NHS Croydon CCG,South West London,London,0.69
Croydon 026D,NHS Croydon CCG,South West London,London,3.77
Croydon 018E,NHS Croydon CCG,South West London,London,2.06
Croydon 034E,NHS Croydon CCG,South West London,London,1.71
Croydon 030C,NHS Croydon CCG,South West London,London,1.71
Croydon 030A,NHS Croydon CCG,South West London,London,3.43
Croydon 030B,NHS Croydon CCG,South West London,London,0.69
Croydon 034C,NHS Croydon CCG,South West London,London,0.69
Croydon 034A,NHS Croydon CCG,South West London,London,1.71
Croydon 034B,NHS Croydon CCG,South West London,London,0.69
Croydon 035D,NHS Croydon CCG,South West London,London,2.4
Croydon 033D,NHS Croydon CCG,South West London,London,2.06
Croydon 029D,NHS Croydon CCG,South West London,London,1.71
Croydon 035A,NHS Croydon CCG,South West London,London,4.46
Croydon 035E,NHS Croydon CCG,South West London,London,0.69
Croydon 031E,NHS Croydon CCG,South West London,London,1.71
Croydon 031B,NHS Croydon CCG,South West London,London,1.71
Croydon 031D,NHS Croydon CCG,South West London,London,2.4
Croydon 028E,NHS Croydon CCG,South West London,London,6.17
Croydon 031A,NHS Croydon CCG,South West London,London,2.06
Croydon 029E,NHS Croydon CCG,South West London,London,2.06
Croydon 031C,NHS Croydon CCG,South West London,London,1.37
Croydon 027E,NHS Croydon CCG,South West London,London,4.11
Croydon 028C,NHS Croydon CCG,South West London,London,3.43
Croydon 029B,NHS Croydon CCG,South West London,London,0.34
Croydon 027A,NHS Croydon CCG,South West London,London,0.69
Croydon 029A,NHS Croydon CCG,South West London,London,1.37
Croydon 033B,NHS Croydon CCG,South West London,London,1.03
Croydon 033C,NHS Croydon CCG,South West London,London,2.74
Croydon 029C,NHS Croydon CCG,South West London,London,1.71
Croydon 034D,NHS Croydon CCG,South West London,London,2.74
Croydon 033E,NHS Croydon CCG,South West London,London,2.4
Croydon 034F,NHS Croydon CCG,South West London,London,1.71
Croydon 034H,NHS Croydon CCG,South West London,London,1.71
Croydon 034G,NHS Croydon CCG,South West London,London,1.03
Croydon 039D,NHS Croydon CCG,South West London,London,1.37
Croydon 033A,NHS Croydon CCG,South West London,London,1.37
Croydon 039C,NHS Croydon CCG,South West London,London,2.4
Croydon 039B,NHS Croydon CCG,South West London,London,2.74
Croydon 035C,NHS Croydon CCG,South West London,London,3.09
Croydon 039A,NHS Croydon CCG,South West London,London,2.06
Croydon 035B,NHS Croydon CCG,South West London,London,1.37
Merton 014D,NHS Merton CCG,South West London,London,0.69
Merton 019E,NHS Merton CCG,South West London,London,2.74
Merton 014B,NHS Merton CCG,South West London,London,0.69
Merton 017D,NHS Merton CCG,South West London,London,3.09
Merton 017C,NHS Merton CCG,South West London,London,2.74
Merton 014E,NHS Merton CCG,South West London,London,2.74
Merton 017E,NHS Merton CCG,South West London,London,1.37
Merton 019A,NHS Merton CCG,South West London,London,2.74
Merton 019D,NHS Merton CCG,South West London,London,1.37
Merton 014A,NHS Merton CCG,South West London,London,1.37
Merton 018B,NHS Merton CCG,South West London,London,2.06
Merton 019B,NHS Merton CCG,South West London,London,1.71
Merton 019C,NHS Merton CCG,South West London,London,1.37
Merton 013D,NHS Merton CCG,South West London,London,1.37
Merton 008C,NHS Merton CCG,South West London,London,0.69
Merton 007A,NHS Merton CCG,South West London,London,3.43
Merton 007E,NHS Merton CCG,South West London,London,1.03
Merton 007B,NHS Merton CCG,South West London,London,1.03
Merton 018D,NHS Merton CCG,South West London,London,1.37
Merton 013B,NHS Merton CCG,South West London,London,1.71
Merton 013A,NHS Merton CCG,South West London,London,0.34
Merton 013C,NHS Merton CCG,South West London,London,2.74
Merton 018E,NHS Merton CCG,South West London,London,2.74
Merton 012E,NHS Merton CCG,South West London,London,0
Merton 012B,NHS Merton CCG,South West London,London,0.69
Merton 013E,NHS Merton CCG,South West London,London,2.06
Merton 008A,NHS Merton CCG,South West London,London,2.74
Merton 018C,NHS Merton CCG,South West London,London,4.8
Merton 012C,NHS Merton CCG,South West London,London,1.03
Merton 018A,NHS Merton CCG,South West London,London,1.71
Merton 008E,NHS Merton CCG,South West London,London,1.03
Merton 008D,NHS Merton CCG,South West London,London,0.69
Sutton 004D,NHS Sutton CCG,South West London,London,2.06
Merton 022E,NHS Merton CCG,South West London,London,5.83
Merton 022D,NHS Merton CCG,South West London,London,1.71
Sutton 001D,NHS Sutton CCG,South West London,London,1.37
Merton 022B,NHS Merton CCG,South West London,London,3.43
Merton 022A,NHS Merton CCG,South West London,London,0.69
Croydon 043A,NHS Croydon CCG,South West London,London,2.06
Croydon 044D,NHS Croydon CCG,South West London,London,3.09
Croydon 044C,NHS Croydon CCG,South West London,London,1.71
Croydon 044B,NHS Croydon CCG,South West London,London,2.4
Croydon 044E,NHS Croydon CCG,South West London,London,0.69
Croydon 044A,NHS Croydon CCG,South West London,London,2.06
Croydon 038D,NHS Croydon CCG,South West London,London,1.71
Croydon 041C,NHS Croydon CCG,South West London,London,4.8
Sutton 024D,NHS Sutton CCG,South West London,London,2.4
Croydon 041A,NHS Croydon CCG,South West London,London,1.71
Croydon 041B,NHS Croydon CCG,South West London,London,1.03
Croydon 043D,NHS Croydon CCG,South West London,London,1.71
Croydon 043B,NHS Croydon CCG,South West London,London,1.03
Croydon 043E,NHS Croydon CCG,South West London,London,3.09
Croydon 043C,NHS Croydon CCG,South West London,London,3.09
Croydon 011C,NHS Croydon CCG,South West London,London,1.03
Croydon 016D,NHS Croydon CCG,South West London,London,2.06
Croydon 011A,NHS Croydon CCG,South West London,London,2.4
Croydon 011D,NHS Croydon CCG,South West London,London,5.83
Croydon 011F,NHS Croydon CCG,South West London,London,1.03
Croydon 011E,NHS Croydon CCG,South West London,London,1.71
Croydon 013A,NHS Croydon CCG,South West London,London,2.06
Croydon 009F,NHS Croydon CCG,South West London,London,0.69
Croydon 010C,NHS Croydon CCG,South West London,London,0.69
Croydon 009D,NHS Croydon CCG,South West London,London,3.43
Croydon 009C,NHS Croydon CCG,South West London,London,1.37
Croydon 015D,NHS Croydon CCG,South West London,London,1.03
Croydon 011B,NHS Croydon CCG,South West London,London,2.4
Croydon 009E,NHS Croydon CCG,South West London,London,1.37
Croydon 009B,NHS Croydon CCG,South West London,London,4.8
Croydon 009A,NHS Croydon CCG,South West London,London,2.4
Croydon 010B,NHS Croydon CCG,South West London,London,3.77
Croydon 010A,NHS Croydon CCG,South West London,London,2.74
Croydon 005C,NHS Croydon CCG,South West London,London,3.43
Croydon 003D,NHS Croydon CCG,South West London,London,3.77
Croydon 002D,NHS Croydon CCG,South West London,London,3.09
Croydon 005A,NHS Croydon CCG,South West London,London,1.71
Croydon 006A,NHS Croydon CCG,South West London,London,2.06
Croydon 006E,NHS Croydon CCG,South West London,London,1.37
