LSOA,CCG,stp,nhs_region,admissions
Hackney 024A,NHS City and Hackney CCG,North East London,London,0.69
Hackney 024F,NHS City and Hackney CCG,North East London,London,4.8
Hackney 024D,NHS City and Hackney CCG,North East London,London,2.06
Hackney 024E,NHS City and Hackney CCG,North East London,London,2.4
Hackney 025E,NHS City and Hackney CCG,North East London,London,4.8
Hackney 019F,NHS City and Hackney CCG,North East London,London,4.11
Hackney 022E,NHS City and Hackney CCG,North East London,London,2.74
Hackney 018D,NHS City and Hackney CCG,North East London,London,3.77
Hackney 018A,NHS City and Hackney CCG,North East London,London,2.74
Hackney 013D,NHS City and Hackney CCG,North East London,London,3.43
Hackney 018B,NHS City and Hackney CCG,North East London,London,3.09
Hackney 013A,NHS City and Hackney CCG,North East London,London,3.43
Hackney 018C,NHS City and Hackney CCG,North East London,London,1.71
Hackney 019A,NHS City and Hackney CCG,North East London,London,2.4
Hackney 015A,NHS City and Hackney CCG,North East London,London,1.71
Hackney 019D,NHS City and Hackney CCG,North East London,London,4.8
Hackney 019B,NHS City and Hackney CCG,North East London,London,3.77
Hackney 017A,NHS City and Hackney CCG,North East London,London,3.43
Hackney 019E,NHS City and Hackney CCG,North East London,London,2.74
Hackney 019C,NHS City and Hackney CCG,North East London,London,4.46
Hackney 022D,NHS City and Hackney CCG,North East London,London,0.69
Hackney 022B,NHS City and Hackney CCG,North East London,London,4.8
Hackney 022C,NHS City and Hackney CCG,North East London,London,0.69
Hackney 023B,NHS City and Hackney CCG,North East London,London,3.09
Hackney 023C,NHS City and Hackney CCG,North East London,London,3.77
Hackney 023D,NHS City and Hackney CCG,North East London,London,1.37
Hackney 023E,NHS City and Hackney CCG,North East London,London,0.69
Hackney 022A,NHS City and Hackney CCG,North East London,London,1.03
Islington 022F,NHS Islington CCG,North Central London,London,1.03
City of London 001A,NHS City and Hackney CCG,North East London,London,4.11
Islington 022H,NHS Islington CCG,North Central London,London,0.34
Islington 022G,NHS Islington CCG,North Central London,London,0.34
Islington 022D,NHS Islington CCG,North Central London,London,3.09
City of London 001G,NHS City and Hackney CCG,North East London,London,1.37
Camden 027C,NHS Camden CCG,North Central London,London,3.43
Camden 027B,NHS Camden CCG,North Central London,London,2.4
Islington 022E,NHS Islington CCG,North Central London,London,2.4
Islington 021C,NHS Islington CCG,North Central London,London,4.11
Islington 023C,NHS Islington CCG,North Central London,London,1.03
Islington 022C,NHS Islington CCG,North Central London,London,2.4
Islington 023B,NHS Islington CCG,North Central London,London,3.43
Islington 022B,NHS Islington CCG,North Central London,London,2.06
Islington 023A,NHS Islington CCG,North Central London,London,2.06
Hackney 027G,NHS City and Hackney CCG,North East London,London,0
Hackney 027I,NHS City and Hackney CCG,North East London,London,0.34
City of London 001C,NHS City and Hackney CCG,North East London,London,1.71
Islington 023D,NHS Islington CCG,North Central London,London,1.03
Islington 023E,NHS Islington CCG,North Central London,London,1.03
City of London 001F,NHS City and Hackney CCG,North East London,London,0
City of London 001B,NHS City and Hackney CCG,North East London,London,1.37
City of London 001E,NHS City and Hackney CCG,North East London,London,0.34
Enfield 015D,NHS Enfield CCG,North Central London,London,0.69
Enfield 016E,NHS Enfield CCG,North Central London,London,1.37
Enfield 015B,NHS Enfield CCG,North Central London,London,4.8
Enfield 016A,NHS Enfield CCG,North Central London,London,1.03
Enfield 016D,NHS Enfield CCG,North Central London,London,3.77
Enfield 015E,NHS Enfield CCG,North Central London,London,2.06
Enfield 016F,NHS Enfield CCG,North Central London,London,1.03
Enfield 015A,NHS Enfield CCG,North Central London,London,5.83
Enfield 021C,NHS Enfield CCG,North Central London,London,1.03
Enfield 021B,NHS Enfield CCG,North Central London,London,3.09
Enfield 021A,NHS Enfield CCG,North Central London,London,2.74
Enfield 009C,NHS Enfield CCG,North Central London,London,4.11
Enfield 009D,NHS Enfield CCG,North Central London,London,2.74
Enfield 008E,NHS Enfield CCG,North Central London,London,1.71
Enfield 009B,NHS Enfield CCG,North Central London,London,3.09
Enfield 009A,NHS Enfield CCG,North Central London,London,3.43
Enfield 012F,NHS Enfield CCG,North Central London,London,2.74
Enfield 005E,NHS Enfield CCG,North Central London,London,3.09
Enfield 006E,NHS Enfield CCG,North Central London,London,3.43
Enfield 005C,NHS Enfield CCG,North Central London,London,3.43
Enfield 005D,NHS Enfield CCG,North Central London,London,0.69
Enfield 002D,NHS Enfield CCG,North Central London,London,1.37
Enfield 002B,NHS Enfield CCG,North Central London,London,2.74
Enfield 002E,NHS Enfield CCG,North Central London,London,3.09
Enfield 005A,NHS Enfield CCG,North Central London,London,1.71
Enfield 005B,NHS Enfield CCG,North Central London,London,1.71
Enfield 004B,NHS Enfield CCG,North Central London,London,2.06
Enfield 004D,NHS Enfield CCG,North Central London,London,2.74
Enfield 004A,NHS Enfield CCG,North Central London,London,3.09
Enfield 008D,NHS Enfield CCG,North Central London,London,1.03
Enfield 008C,NHS Enfield CCG,North Central London,London,2.74
Enfield 004E,NHS Enfield CCG,North Central London,London,2.74
Enfield 015C,NHS Enfield CCG,North Central London,London,2.06
Enfield 017A,NHS Enfield CCG,North Central London,London,2.06
Enfield 008B,NHS Enfield CCG,North Central London,London,3.43
Enfield 010A,NHS Enfield CCG,North Central London,London,3.09
Enfield 013C,NHS Enfield CCG,North Central London,London,2.74
Enfield 013D,NHS Enfield CCG,North Central London,London,2.74
Enfield 013B,NHS Enfield CCG,North Central London,London,3.43
Enfield 008A,NHS Enfield CCG,North Central London,London,2.4
Enfield 010B,NHS Enfield CCG,North Central London,London,1.03
Enfield 010D,NHS Enfield CCG,North Central London,London,1.71
Enfield 010E,NHS Enfield CCG,North Central London,London,3.77
Enfield 010C,NHS Enfield CCG,North Central London,London,3.09
Enfield 004C,NHS Enfield CCG,North Central London,London,2.06
Enfield 018E,NHS Enfield CCG,North Central London,London,2.06
Enfield 014D,NHS Enfield CCG,North Central London,London,0.34
Enfield 012D,NHS Enfield CCG,North Central London,London,2.4
Enfield 012C,NHS Enfield CCG,North Central London,London,1.71
Enfield 018D,NHS Enfield CCG,North Central London,London,2.4
Enfield 014C,NHS Enfield CCG,North Central London,London,1.71
Enfield 012E,NHS Enfield CCG,North Central London,London,0.69
Enfield 012A,NHS Enfield CCG,North Central London,London,2.06
Enfield 007B,NHS Enfield CCG,North Central London,London,1.03
Enfield 007A,NHS Enfield CCG,North Central London,London,1.03
Enfield 007C,NHS Enfield CCG,North Central London,London,0.34
Enfield 006D,NHS Enfield CCG,North Central London,London,0.69
Enfield 002A,NHS Enfield CCG,North Central London,London,3.09
Enfield 006B,NHS Enfield CCG,North Central London,London,0
Enfield 006C,NHS Enfield CCG,North Central London,London,2.4
Enfield 003D,NHS Enfield CCG,North Central London,London,2.06
Enfield 003C,NHS Enfield CCG,North Central London,London,0.69
Enfield 003E,NHS Enfield CCG,North Central London,London,1.03
Enfield 003G,NHS Enfield CCG,North Central London,London,0.69
Enfield 003F,NHS Enfield CCG,North Central London,London,1.03
Enfield 001A,NHS Enfield CCG,North Central London,London,3.09
Enfield 001B,NHS Enfield CCG,North Central London,London,1.71
Enfield 002C,NHS Enfield CCG,North Central London,London,1.71
Enfield 001C,NHS Enfield CCG,North Central London,London,4.11
Enfield 001D,NHS Enfield CCG,North Central London,London,4.46
Enfield 003B,NHS Enfield CCG,North Central London,London,1.71
Enfield 012B,NHS Enfield CCG,North Central London,London,2.06
Enfield 006A,NHS Enfield CCG,North Central London,London,1.71
Enfield 007D,NHS Enfield CCG,North Central London,London,1.71
Enfield 014A,NHS Enfield CCG,North Central London,London,1.03
Enfield 007E,NHS Enfield CCG,North Central London,London,3.09
Enfield 014B,NHS Enfield CCG,North Central London,London,1.03
Enfield 011C,NHS Enfield CCG,North Central London,London,2.74
Enfield 011B,NHS Enfield CCG,North Central London,London,4.8
Enfield 011D,NHS Enfield CCG,North Central London,London,2.74
Barnet 005A,NHS Barnet CCG,North Central London,London,1.37
Barnet 006B,NHS Barnet CCG,North Central London,London,2.74
Barnet 006E,NHS Barnet CCG,North Central London,London,0.69
Barnet 009B,NHS Barnet CCG,North Central London,London,0.69
Barnet 010A,NHS Barnet CCG,North Central London,London,4.8
Barnet 003D,NHS Barnet CCG,North Central London,London,3.09
Barnet 006A,NHS Barnet CCG,North Central London,London,2.4
Barnet 006C,NHS Barnet CCG,North Central London,London,1.37
Barnet 006D,NHS Barnet CCG,North Central London,London,1.71
Barnet 002A,NHS Barnet CCG,North Central London,London,1.71
Barnet 003A,NHS Barnet CCG,North Central London,London,1.71
Barnet 003B,NHS Barnet CCG,North Central London,London,1.71
Enfield 011A,NHS Enfield CCG,North Central London,London,2.74
Barnet 003C,NHS Barnet CCG,North Central London,London,1.03
Barnet 005C,NHS Barnet CCG,North Central London,London,5.14
Barnet 005D,NHS Barnet CCG,North Central London,London,1.03
Barnet 005B,NHS Barnet CCG,North Central London,London,2.06
Barnet 004C,NHS Barnet CCG,North Central London,London,3.09
Barnet 004A,NHS Barnet CCG,North Central London,London,2.06
Barnet 001F,NHS Barnet CCG,North Central London,London,2.74
Barnet 001E,NHS Barnet CCG,North Central London,London,1.71
Barnet 004E,NHS Barnet CCG,North Central London,London,4.11
Barnet 004B,NHS Barnet CCG,North Central London,London,1.37
Barnet 004F,NHS Barnet CCG,North Central London,London,4.11
Barnet 004D,NHS Barnet CCG,North Central London,London,0.69
Barnet 007B,NHS Barnet CCG,North Central London,London,4.8
Barnet 007F,NHS Barnet CCG,North Central London,London,3.43
Barnet 007E,NHS Barnet CCG,North Central London,London,3.77
Barnet 001B,NHS Barnet CCG,North Central London,London,1.37
Barnet 001A,NHS Barnet CCG,North Central London,London,2.06
Barnet 001D,NHS Barnet CCG,North Central London,London,2.4
Barnet 002E,NHS Barnet CCG,North Central London,London,2.06
Barnet 002D,NHS Barnet CCG,North Central London,London,4.11
Barnet 002B,NHS Barnet CCG,North Central London,London,3.43
Barnet 002C,NHS Barnet CCG,North Central London,London,1.03
Barnet 001C,NHS Barnet CCG,North Central London,London,5.49
Brent 019B,NHS Brent CCG,North West London,London,1.37
Ealing 005D,NHS Ealing CCG,North West London,London,1.71
Brent 029A,NHS Brent CCG,North West London,London,1.37
Brent 026A,NHS Brent CCG,North West London,London,1.03
Brent 026D,NHS Brent CCG,North West London,London,2.4
Brent 029C,NHS Brent CCG,North West London,London,3.77
Brent 026C,NHS Brent CCG,North West London,London,2.4
Brent 029B,NHS Brent CCG,North West London,London,2.4
Brent 029D,NHS Brent CCG,North West London,London,3.09
Brent 019E,NHS Brent CCG,North West London,London,2.74
Brent 016D,NHS Brent CCG,North West London,London,2.74
Brent 016A,NHS Brent CCG,North West London,London,4.11
Brent 016B,NHS Brent CCG,North West London,London,1.37
Brent 016C,NHS Brent CCG,North West London,London,1.03
Brent 019A,NHS Brent CCG,North West London,London,1.37
Brent 013E,NHS Brent CCG,North West London,London,1.03
Brent 013C,NHS Brent CCG,North West London,London,1.71
Brent 013D,NHS Brent CCG,North West London,London,2.06
Brent 013B,NHS Brent CCG,North West London,London,2.74
Brent 008B,NHS Brent CCG,North West London,London,4.46
Brent 013A,NHS Brent CCG,North West London,London,3.09
Brent 008C,NHS Brent CCG,North West London,London,1.37
Brent 008E,NHS Brent CCG,North West London,London,2.06
Brent 026E,NHS Brent CCG,North West London,London,0.69
Brent 026B,NHS Brent CCG,North West London,London,1.37
Brent 029E,NHS Brent CCG,North West London,London,3.77
Brent 019D,NHS Brent CCG,North West London,London,2.4
Brent 019C,NHS Brent CCG,North West London,London,1.71
Harrow 020B,NHS Harrow CCG,North West London,London,1.03
Harrow 020A,NHS Harrow CCG,North West London,London,1.37
Harrow 023C,NHS Harrow CCG,North West London,London,3.43
Harrow 020D,NHS Harrow CCG,North West London,London,3.09
Harrow 013B,NHS Harrow CCG,North West London,London,3.77
Harrow 023D,NHS Harrow CCG,North West London,London,2.4
Harrow 023A,NHS Harrow CCG,North West London,London,5.14
Harrow 023B,NHS Harrow CCG,North West London,London,1.37
Harrow 027A,NHS Harrow CCG,North West London,London,3.77
Harrow 029D,NHS Harrow CCG,North West London,London,2.74
Harrow 029C,NHS Harrow CCG,North West London,London,2.4
Harrow 029B,NHS Harrow CCG,North West London,London,1.37
Brent 008A,NHS Brent CCG,North West London,London,3.09
Harrow 024C,NHS Harrow CCG,North West London,London,4.11
Harrow 024A,NHS Harrow CCG,North West London,London,0.69
Harrow 024B,NHS Harrow CCG,North West London,London,3.09
Harrow 021B,NHS Harrow CCG,North West London,London,1.37
Harrow 021A,NHS Harrow CCG,North West London,London,3.77
Harrow 021C,NHS Harrow CCG,North West London,London,2.06
Harrow 021D,NHS Harrow CCG,North West London,London,1.71
Harrow 020C,NHS Harrow CCG,North West London,London,1.03
Harrow 027B,NHS Harrow CCG,North West London,London,2.74
Harrow 029A,NHS Harrow CCG,North West London,London,1.37
Harrow 027C,NHS Harrow CCG,North West London,London,1.37
Harrow 025D,NHS Harrow CCG,North West London,London,2.06
Harrow 028A,NHS Harrow CCG,North West London,London,1.37
Harrow 028D,NHS Harrow CCG,North West London,London,0
Harrow 015D,NHS Harrow CCG,North West London,London,2.4
Harrow 015B,NHS Harrow CCG,North West London,London,1.71
Harrow 015A,NHS Harrow CCG,North West London,London,2.06
Harrow 015C,NHS Harrow CCG,North West London,London,1.71
Harrow 024D,NHS Harrow CCG,North West London,London,2.06
Harrow 025C,NHS Harrow CCG,North West London,London,2.74
Harrow 019C,NHS Harrow CCG,North West London,London,2.74
Harrow 019A,NHS Harrow CCG,North West London,London,3.09
Harrow 019D,NHS Harrow CCG,North West London,London,1.37
Harrow 027D,NHS Harrow CCG,North West London,London,2.06
Harrow 030C,NHS Harrow CCG,North West London,London,3.09
Harrow 030B,NHS Harrow CCG,North West London,London,2.06
Harrow 030A,NHS Harrow CCG,North West London,London,2.06
Harrow 031C,NHS Harrow CCG,North West London,London,1.71
Harrow 031D,NHS Harrow CCG,North West London,London,1.71
Harrow 030D,NHS Harrow CCG,North West London,London,3.09
Harrow 031B,NHS Harrow CCG,North West London,London,1.37
Harrow 028B,NHS Harrow CCG,North West London,London,2.06
Harrow 032A,NHS Harrow CCG,North West London,London,1.37
Harrow 031A,NHS Harrow CCG,North West London,London,2.4
Harrow 032E,NHS Harrow CCG,North West London,London,1.71
Harrow 028C,NHS Harrow CCG,North West London,London,1.03
Harrow 032C,NHS Harrow CCG,North West London,London,5.49
Harrow 032D,NHS Harrow CCG,North West London,London,1.37
Harrow 032B,NHS Harrow CCG,North West London,London,1.37
Brent 008D,NHS Brent CCG,North West London,London,1.71
Brent 004A,NHS Brent CCG,North West London,London,2.4
Brent 004D,NHS Brent CCG,North West London,London,1.71
Brent 004B,NHS Brent CCG,North West London,London,1.71
Brent 004C,NHS Brent CCG,North West London,London,3.09
Brent 003G,NHS Brent CCG,North West London,London,3.43
Brent 004E,NHS Brent CCG,North West London,London,1.37
Harrow 013A,NHS Harrow CCG,North West London,London,1.71
Harrow 011A,NHS Harrow CCG,North West London,London,3.77
Harrow 005D,NHS Harrow CCG,North West London,London,0.69
Harrow 011C,NHS Harrow CCG,North West London,London,1.03
Harrow 011E,NHS Harrow CCG,North West London,London,1.37
Harrow 005C,NHS Harrow CCG,North West London,London,1.37
Harrow 005E,NHS Harrow CCG,North West London,London,2.06
Harrow 005A,NHS Harrow CCG,North West London,London,0.69
Harrow 006A,NHS Harrow CCG,North West London,London,1.71
Harrow 006D,NHS Harrow CCG,North West London,London,2.74
Harrow 004A,NHS Harrow CCG,North West London,London,1.37
Harrow 011B,NHS Harrow CCG,North West London,London,1.71
Harrow 005B,NHS Harrow CCG,North West London,London,2.74
Harrow 011D,NHS Harrow CCG,North West London,London,2.06
Harrow 013E,NHS Harrow CCG,North West London,London,0.69
Harrow 013D,NHS Harrow CCG,North West London,London,3.77
Harrow 013C,NHS Harrow CCG,North West London,London,4.8
Harrow 033F,NHS Harrow CCG,North West London,London,1.71
Harrow 033G,NHS Harrow CCG,North West London,London,3.43
Harrow 033E,NHS Harrow CCG,North West London,London,3.09
Harrow 033D,NHS Harrow CCG,North West London,London,2.06
Harrow 033C,NHS Harrow CCG,North West London,London,1.03
Harrow 033I,NHS Harrow CCG,North West London,London,2.06
Harrow 033H,NHS Harrow CCG,North West London,London,1.71
Harrow 012C,NHS Harrow CCG,North West London,London,1.71
Harrow 033A,NHS Harrow CCG,North West London,London,1.37
Harrow 017D,NHS Harrow CCG,North West London,London,1.71
Harrow 017C,NHS Harrow CCG,North West London,London,0.69
Harrow 033B,NHS Harrow CCG,North West London,London,2.4
Harrow 017B,NHS Harrow CCG,North West London,London,2.06
Brent 006C,NHS Brent CCG,North West London,London,4.11
Harrow 017A,NHS Harrow CCG,North West London,London,3.09
Brent 003E,NHS Brent CCG,North West London,London,1.03
Brent 006B,NHS Brent CCG,North West London,London,2.4
Hillingdon 010B,NHS Hillingdon CCG,North West London,London,1.71
Hillingdon 033A,NHS Hillingdon CCG,North West London,London,4.8
Hillingdon 033E,NHS Hillingdon CCG,North West London,London,1.37
Hillingdon 033C,NHS Hillingdon CCG,North West London,London,1.71
Hillingdon 008A,NHS Hillingdon CCG,North West London,London,2.06
Hillingdon 010A,NHS Hillingdon CCG,North West London,London,1.71
Hillingdon 010D,NHS Hillingdon CCG,North West London,London,3.09
Hillingdon 009A,NHS Hillingdon CCG,North West London,London,1.71
Hillingdon 009B,NHS Hillingdon CCG,North West London,London,3.43
Hillingdon 009C,NHS Hillingdon CCG,North West London,London,1.71
Hillingdon 010E,NHS Hillingdon CCG,North West London,London,3.09
Hillingdon 033D,NHS Hillingdon CCG,North West London,London,2.4
Hillingdon 033B,NHS Hillingdon CCG,North West London,London,2.06
Hillingdon 009D,NHS Hillingdon CCG,North West London,London,3.43
Hillingdon 005B,NHS Hillingdon CCG,North West London,London,3.09
Hillingdon 007A,NHS Hillingdon CCG,North West London,London,0.34
Hillingdon 005D,NHS Hillingdon CCG,North West London,London,2.74
Hillingdon 007B,NHS Hillingdon CCG,North West London,London,3.43
Hillingdon 005C,NHS Hillingdon CCG,North West London,London,2.06
Hillingdon 005A,NHS Hillingdon CCG,North West London,London,2.4
Hillingdon 004A,NHS Hillingdon CCG,North West London,London,3.09
Hillingdon 007E,NHS Hillingdon CCG,North West London,London,3.43
Hillingdon 007D,NHS Hillingdon CCG,North West London,London,3.09
Hillingdon 008B,NHS Hillingdon CCG,North West London,London,3.09
Hillingdon 007C,NHS Hillingdon CCG,North West London,London,2.06
Hillingdon 008E,NHS Hillingdon CCG,North West London,London,1.37
Hillingdon 010C,NHS Hillingdon CCG,North West London,London,0.34
Hillingdon 008D,NHS Hillingdon CCG,North West London,London,2.74
Hillingdon 006B,NHS Hillingdon CCG,North West London,London,3.09
Hillingdon 006A,NHS Hillingdon CCG,North West London,London,3.09
Hillingdon 008C,NHS Hillingdon CCG,North West London,London,1.71
Harrow 022B,NHS Harrow CCG,North West London,London,1.37
Harrow 022A,NHS Harrow CCG,North West London,London,2.06
Hillingdon 006C,NHS Hillingdon CCG,North West London,London,1.37
Hillingdon 006D,NHS Hillingdon CCG,North West London,London,2.4
Harrow 022D,NHS Harrow CCG,North West London,London,1.37
Harrow 009B,NHS Harrow CCG,North West London,London,3.43
Hillingdon 004D,NHS Hillingdon CCG,North West London,London,1.71
Hillingdon 004B,NHS Hillingdon CCG,North West London,London,1.71
Hillingdon 004E,NHS Hillingdon CCG,North West London,London,2.06
Hillingdon 006E,NHS Hillingdon CCG,North West London,London,4.11
Harrow 016A,NHS Harrow CCG,North West London,London,2.06
Harrow 016B,NHS Harrow CCG,North West London,London,3.43
Harrow 009C,NHS Harrow CCG,North West London,London,3.09
Harrow 016C,NHS Harrow CCG,North West London,London,5.14
Harrow 009A,NHS Harrow CCG,North West London,London,2.06
Harrow 009D,NHS Harrow CCG,North West London,London,3.43
Harrow 004C,NHS Harrow CCG,North West London,London,2.06
Harrow 006B,NHS Harrow CCG,North West London,London,0.34
Harrow 004B,NHS Harrow CCG,North West London,London,1.37
Harrow 006C,NHS Harrow CCG,North West London,London,1.71
Harrow 006E,NHS Harrow CCG,North West London,London,1.37
Harrow 004D,NHS Harrow CCG,North West London,London,1.03
Harrow 025A,NHS Harrow CCG,North West London,London,1.03
Harrow 025B,NHS Harrow CCG,North West London,London,2.06
Harrow 022C,NHS Harrow CCG,North West London,London,3.77
Harrow 016D,NHS Harrow CCG,North West London,London,2.06
Harrow 019B,NHS Harrow CCG,North West London,London,0.69
Hillingdon 002C,NHS Hillingdon CCG,North West London,London,3.77
Hillingdon 002F,NHS Hillingdon CCG,North West London,London,3.43
Hillingdon 002B,NHS Hillingdon CCG,North West London,London,2.06
Hillingdon 004C,NHS Hillingdon CCG,North West London,London,2.4
Hillingdon 002D,NHS Hillingdon CCG,North West London,London,0.69
Hillingdon 002E,NHS Hillingdon CCG,North West London,London,2.74
Hillingdon 001C,NHS Hillingdon CCG,North West London,London,1.03
Hillingdon 001B,NHS Hillingdon CCG,North West London,London,2.4
Hillingdon 001A,NHS Hillingdon CCG,North West London,London,2.06
Hillingdon 002A,NHS Hillingdon CCG,North West London,London,1.37
Hillingdon 001D,NHS Hillingdon CCG,North West London,London,2.06
Hillingdon 001E,NHS Hillingdon CCG,North West London,London,2.4
Harrow 008D,NHS Harrow CCG,North West London,London,1.71
Harrow 012E,NHS Harrow CCG,North West London,London,2.4
Harrow 017E,NHS Harrow CCG,North West London,London,1.37
Harrow 010E,NHS Harrow CCG,North West London,London,1.71
Harrow 012D,NHS Harrow CCG,North West London,London,1.37
Harrow 002D,NHS Harrow CCG,North West London,London,4.8
Harrow 012A,NHS Harrow CCG,North West London,London,0.34
Harrow 008A,NHS Harrow CCG,North West London,London,1.03
Harrow 008E,NHS Harrow CCG,North West London,London,1.71
Harrow 008B,NHS Harrow CCG,North West London,London,2.06
Harrow 012B,NHS Harrow CCG,North West London,London,2.06
Harrow 008C,NHS Harrow CCG,North West London,London,1.37
Harrow 001D,NHS Harrow CCG,North West London,London,4.8
Harrow 001C,NHS Harrow CCG,North West London,London,2.4
Harrow 003A,NHS Harrow CCG,North West London,London,3.43
Harrow 003D,NHS Harrow CCG,North West London,London,1.71
Harrow 003B,NHS Harrow CCG,North West London,London,1.37
Harrow 003C,NHS Harrow CCG,North West London,London,3.43
Harrow 001B,NHS Harrow CCG,North West London,London,6.17
Harrow 001A,NHS Harrow CCG,North West London,London,2.4
Harrow 002A,NHS Harrow CCG,North West London,London,2.06
Harrow 002B,NHS Harrow CCG,North West London,London,2.06
Barnet 024C,NHS Barnet CCG,North Central London,London,3.09
Barnet 024A,NHS Barnet CCG,North Central London,London,3.77
Barnet 024B,NHS Barnet CCG,North Central London,London,2.4
Barnet 021A,NHS Barnet CCG,North Central London,London,3.09
Barnet 024D,NHS Barnet CCG,North Central London,London,4.8
Barnet 021C,NHS Barnet CCG,North Central London,London,3.09
Barnet 021B,NHS Barnet CCG,North Central London,London,2.06
Barnet 024F,NHS Barnet CCG,North Central London,London,0.69
Harrow 007A,NHS Harrow CCG,North West London,London,0.69
Harrow 007D,NHS Harrow CCG,North West London,London,2.74
Harrow 007E,NHS Harrow CCG,North West London,London,0.69
Brent 001D,NHS Brent CCG,North West London,London,3.77
Brent 001F,NHS Brent CCG,North West London,London,2.06
Brent 001E,NHS Brent CCG,North West London,London,2.4
Harrow 010B,NHS Harrow CCG,North West London,London,0.34
Harrow 010A,NHS Harrow CCG,North West London,London,2.4
Harrow 010C,NHS Harrow CCG,North West London,London,0.34
Harrow 010D,NHS Harrow CCG,North West London,London,1.71
Harrow 007C,NHS Harrow CCG,North West London,London,2.4
Harrow 007B,NHS Harrow CCG,North West London,London,1.03
Harrow 002E,NHS Harrow CCG,North West London,London,3.77
Barnet 018B,NHS Barnet CCG,North Central London,London,2.06
Harrow 002C,NHS Harrow CCG,North West London,London,2.4
Barnet 014D,NHS Barnet CCG,North Central London,London,0.69
Barnet 014E,NHS Barnet CCG,North Central London,London,3.09
Barnet 013A,NHS Barnet CCG,North Central London,London,2.4
Barnet 014F,NHS Barnet CCG,North Central London,London,0.34
Barnet 014A,NHS Barnet CCG,North Central London,London,0.69
Barnet 014C,NHS Barnet CCG,North Central London,London,4.11
Barnet 014B,NHS Barnet CCG,North Central London,London,4.46
Barnet 013B,NHS Barnet CCG,North Central London,London,1.03
Barnet 018C,NHS Barnet CCG,North Central London,London,2.4
Barnet 021E,NHS Barnet CCG,North Central London,London,1.03
Barnet 018D,NHS Barnet CCG,North Central London,London,4.11
Barnet 018E,NHS Barnet CCG,North Central London,London,4.46
Barnet 013C,NHS Barnet CCG,North Central London,London,2.74
Barnet 013E,NHS Barnet CCG,North Central London,London,4.11
Barnet 018A,NHS Barnet CCG,North Central London,London,2.4
Brent 017B,NHS Brent CCG,North West London,London,1.03
Brent 020E,NHS Brent CCG,North West London,London,2.74
Brent 020C,NHS Brent CCG,North West London,London,4.46
Brent 020B,NHS Brent CCG,North West London,London,1.71
Brent 017E,NHS Brent CCG,North West London,London,2.06
Brent 017C,NHS Brent CCG,North West London,London,4.11
Brent 017D,NHS Brent CCG,North West London,London,3.43
Brent 020D,NHS Brent CCG,North West London,London,3.77
Brent 012A,NHS Brent CCG,North West London,London,1.71
Brent 007E,NHS Brent CCG,North West London,London,2.06
Brent 012B,NHS Brent CCG,North West London,London,2.74
Brent 020A,NHS Brent CCG,North West London,London,1.03
Brent 017F,NHS Brent CCG,North West London,London,0.34
Brent 017G,NHS Brent CCG,North West London,London,2.06
Brent 012D,NHS Brent CCG,North West London,London,4.46
Brent 012C,NHS Brent CCG,North West London,London,1.71
Brent 007D,NHS Brent CCG,North West London,London,2.06
Brent 007C,NHS Brent CCG,North West London,London,1.37
Brent 007A,NHS Brent CCG,North West London,London,2.4
Brent 007B,NHS Brent CCG,North West London,London,0.34
Brent 009D,NHS Brent CCG,North West London,London,3.43
Brent 009B,NHS Brent CCG,North West London,London,0.69
Brent 006A,NHS Brent CCG,North West London,London,1.03
Brent 006D,NHS Brent CCG,North West London,London,2.4
Brent 006E,NHS Brent CCG,North West London,London,0.34
Brent 009C,NHS Brent CCG,North West London,London,5.14
Barking and Dagenham 019E,NHS Barking and Dagenham CCG,North East London,London,2.74
Barking and Dagenham 022A,NHS Barking and Dagenham CCG,North East London,London,2.06
Barking and Dagenham 022B,NHS Barking and Dagenham CCG,North East London,London,1.71
Barking and Dagenham 022D,NHS Barking and Dagenham CCG,North East London,London,0.69
Barking and Dagenham 018E,NHS Barking and Dagenham CCG,North East London,London,2.4
Barking and Dagenham 022C,NHS Barking and Dagenham CCG,North East London,London,0.69
Barking and Dagenham 019D,NHS Barking and Dagenham CCG,North East London,London,0.69
Barking and Dagenham 021F,NHS Barking and Dagenham CCG,North East London,London,0.69
Barking and Dagenham 021E,NHS Barking and Dagenham CCG,North East London,London,0.34
Barking and Dagenham 021C,NHS Barking and Dagenham CCG,North East London,London,3.09
Barking and Dagenham 021D,NHS Barking and Dagenham CCG,North East London,London,0.34
Barking and Dagenham 019C,NHS Barking and Dagenham CCG,North East London,London,3.43
Barking and Dagenham 016D,NHS Barking and Dagenham CCG,North East London,London,2.06
Barking and Dagenham 021B,NHS Barking and Dagenham CCG,North East London,London,0
Barking and Dagenham 015C,NHS Barking and Dagenham CCG,North East London,London,0.69
Barking and Dagenham 015D,NHS Barking and Dagenham CCG,North East London,London,1.03
Barking and Dagenham 015A,NHS Barking and Dagenham CCG,North East London,London,1.71
Barking and Dagenham 015B,NHS Barking and Dagenham CCG,North East London,London,0.69
Barking and Dagenham 016C,NHS Barking and Dagenham CCG,North East London,London,0.69
Barking and Dagenham 016B,NHS Barking and Dagenham CCG,North East London,London,3.77
Barking and Dagenham 011C,NHS Barking and Dagenham CCG,North East London,London,1.03
Barking and Dagenham 011A,NHS Barking and Dagenham CCG,North East London,London,0.69
