,LSOA,CCG,stp,nhs_region,admissions,LSOA01,WD03CD,WD03NM,data_hosp,Preferred_unit_name,Preferred_unit_postcode
1452,Harrow 007A,NHS Harrow CCG,North West London,London,0.69,Harrow 007A,00AQGA,Edgware,Northwick Park Hospital,Northwick Park SU,HA13UJ
1453,Harrow 007D,NHS Harrow CCG,North West London,London,2.74,Harrow 007D,00AQGA,Edgware,Northwick Park Hospital,Northwick Park SU,HA13UJ
1454,Harrow 007E,NHS Harrow CCG,North West London,London,0.69,Harrow 007E,00AQGA,Edgware,Northwick Park Hospital,Northwick Park SU,HA13UJ
1455,Brent 001D,NHS Brent CCG,North West London,London,3.77,Brent 001D,00AEGZ,Queensbury,Northwick Park Hospital,Northwick Park SU,HA13UJ
1456,Brent 001F,NHS Brent CCG,North West London,London,2.06,Brent 001F,00AEGZ,Queensbury,Northwick Park Hospital,Northwick Park SU,HA13UJ
1457,Brent 001E,NHS Brent CCG,North West London,London,2.4,Brent 001E,00AEGZ,Queensbury,Northwick Park Hospital,Northwick Park SU,HA13UJ
1458,Harrow 010B,NHS Harrow CCG,North West London,London,0.34,Harrow 010B,00AQGA,Edgware,Northwick Park Hospital,Northwick Park SU,HA13UJ
1459,Harrow 010A,NHS Harrow CCG,North West London,London,2.4,Harrow 010A,00AQGA,Edgware,Northwick Park Hospital,Northwick Park SU,HA13UJ
1460,Harrow 010C,NHS Harrow CCG,North West London,London,0.34,Harrow 010C,00AQGN,Queensbury,Northwick Park Hospital,Northwick Park SU,HA13UJ
1461,Harrow 010D,NHS Harrow CCG,North West London,London,1.71,Harrow 010D,00AQGN,Queensbury,Northwick Park Hospital,Northwick Park SU,HA13UJ
1462,Harrow 007C,NHS Harrow CCG,North West London,London,2.4,Harrow 007C,00AQGA,Edgware,Northwick Park Hospital,Northwick Park SU,HA13UJ
1463,Harrow 007B,NHS Harrow CCG,North West London,London,1.03,Harrow 007B,00AQGA,Edgware,Northwick Park Hospital,Northwick Park SU,HA13UJ
1464,Harrow 002E,NHS Harrow CCG,North West London,London,3.77,Harrow 002E,00AQFZ,Canons,Northwick Park Hospital,Northwick Park SU,HA13UJ
1465,Barnet 018B,NHS Barnet CCG,North Central London,London,2.06,Barnet 018B,00ACGE,Edgware,Barnet Hospital,Barnet General SU,EN53DJ
1466,Harrow 002C,NHS Harrow CCG,North West London,London,2.4,Harrow 002C,00AQFZ,Canons,Northwick Park Hospital,Northwick Park SU,HA13UJ
1467,Barnet 014D,NHS Barnet CCG,North Central London,London,0.69,Barnet 014D,00ACGE,Edgware,Barnet Hospital,Barnet General SU,EN53DJ
1468,Barnet 014E,NHS Barnet CCG,North Central London,London,3.09,Barnet 014E,00ACGE,Edgware,Barnet Hospital,Barnet General SU,EN53DJ
1469,Barnet 013A,NHS Barnet CCG,North Central London,London,2.4,Barnet 013A,00ACGE,Edgware,Barnet Hospital,Barnet General SU,EN53DJ
1470,Barnet 014F,NHS Barnet CCG,North Central London,London,0.34,Barnet 014F,00ACGE,Edgware,Barnet Hospital,Barnet General SU,EN53DJ
1471,Barnet 014A,NHS Barnet CCG,North Central London,London,0.69,Barnet 014A,00ACGE,Edgware,Barnet Hospital,Barnet General SU,EN53DJ
1472,Barnet 014C,NHS Barnet CCG,North Central London,London,4.11,Barnet 014C,00ACGE,Edgware,Barnet Hospital,Barnet General SU,EN53DJ
1473,Barnet 014B,NHS Barnet CCG,North Central London,London,4.46,Barnet 014B,00ACGE,Edgware,Barnet Hospital,Barnet General SU,EN53DJ
1474,Barnet 013B,NHS Barnet CCG,North Central London,London,1.03,Barnet 013B,00ACGJ,Hale,Barnet Hospital,Barnet General SU,EN53DJ
1475,Barnet 018C,NHS Barnet CCG,North Central London,London,2.4,Barnet 018C,00ACGE,Edgware,Barnet Hospital,Barnet General SU,EN53DJ
1476,Barnet 021E,NHS Barnet CCG,North Central London,London,1.03,Barnet 021E,00ACGJ,Hale,Barnet Hospital,Barnet General SU,EN53DJ
1477,Barnet 018D,NHS Barnet CCG,North Central London,London,4.11,Barnet 018D,00ACGJ,Hale,Barnet Hospital,Barnet General SU,EN53DJ
1478,Barnet 018E,NHS Barnet CCG,North Central London,London,4.46,Barnet 018E,00ACGJ,Hale,Barnet Hospital,Barnet General SU,EN53DJ
1479,Barnet 013C,NHS Barnet CCG,North Central London,London,2.74,Barnet 013C,00ACGJ,Hale,Barnet Hospital,Barnet General SU,EN53DJ
1480,Barnet 013E,NHS Barnet CCG,North Central London,London,4.11,Barnet 013E,00ACGJ,Hale,Barnet Hospital,Barnet General SU,EN53DJ
1481,Barnet 018A,NHS Barnet CCG,North Central London,London,2.4,Barnet 018A,00ACGE,Edgware,Barnet Hospital,Barnet General SU,EN53DJ
1482,Brent 017B,NHS Brent CCG,North West London,London,1.03,Brent 017B,00AEHC,Tokyngton,Northwick Park Hospital,Northwick Park SU,HA13UJ
1483,Brent 020E,NHS Brent CCG,North West London,London,2.74,Brent 020E,00AEHE,Wembley Central,Northwick Park Hospital,Northwick Park SU,HA13UJ
1484,Brent 020C,NHS Brent CCG,North West London,London,4.46,Brent 020C,00AEHC,Tokyngton,Northwick Park Hospital,Northwick Park SU,HA13UJ
1485,Brent 020B,NHS Brent CCG,North West London,London,1.71,Brent 020B,00AEHC,Tokyngton,Northwick Park Hospital,Northwick Park SU,HA13UJ
1486,Brent 017E,NHS Brent CCG,North West London,London,2.06,Brent 017E,00AEHC,Tokyngton,Northwick Park Hospital,Northwick Park SU,HA13UJ
1487,Brent 017C,NHS Brent CCG,North West London,London,4.11,Brent 017C,00AEHC,Tokyngton,Northwick Park Hospital,Northwick Park SU,HA13UJ
1488,Brent 017D,NHS Brent CCG,North West London,London,3.43,Brent 017D,00AEHC,Tokyngton,Northwick Park Hospital,Northwick Park SU,HA13UJ
1489,Brent 020D,NHS Brent CCG,North West London,London,3.77,Brent 020D,00AEHE,Wembley Central,Northwick Park Hospital,Northwick Park SU,HA13UJ
1490,Brent 012A,NHS Brent CCG,North West London,London,1.71,Brent 012A,00AEGX,Preston,Northwick Park Hospital,Northwick Park SU,HA13UJ
1491,Brent 007E,NHS Brent CCG,North West London,London,2.06,Brent 007E,00AEGX,Preston,Northwick Park Hospital,Northwick Park SU,HA13UJ
1492,Brent 012B,NHS Brent CCG,North West London,London,2.74,Brent 012B,00AEGX,Preston,Northwick Park Hospital,Northwick Park SU,HA13UJ
1493,Brent 020A,NHS Brent CCG,North West London,London,1.03,Brent 020A,00AEHC,Tokyngton,Northwick Park Hospital,Northwick Park SU,HA13UJ
1494,Brent 017F,NHS Brent CCG,North West London,London,0.34,Brent 017A,00AEHC,Tokyngton,Northwick Park Hospital,Northwick Park SU,HA13UJ
1495,Brent 017G,NHS Brent CCG,North West London,London,2.06,Brent 017A,00AEHC,Tokyngton,Northwick Park Hospital,Northwick Park SU,HA13UJ
1496,Brent 012D,NHS Brent CCG,North West London,London,4.46,Brent 012D,00AEGX,Preston,Northwick Park Hospital,Northwick Park SU,HA13UJ
1497,Brent 012C,NHS Brent CCG,North West London,London,1.71,Brent 012C,00AEGX,Preston,Northwick Park Hospital,Northwick Park SU,HA13UJ
1498,Brent 007D,NHS Brent CCG,North West London,London,2.06,Brent 007D,00AEGX,Preston,Northwick Park Hospital,Northwick Park SU,HA13UJ
1499,Brent 007C,NHS Brent CCG,North West London,London,1.37,Brent 007C,00AEGX,Preston,Northwick Park Hospital,Northwick Park SU,HA13UJ
1500,Brent 007A,NHS Brent CCG,North West London,London,2.4,Brent 007A,00AEGX,Preston,Northwick Park Hospital,Northwick Park SU,HA13UJ
1501,Brent 007B,NHS Brent CCG,North West London,London,0.34,Brent 007B,00AEGX,Preston,Northwick Park Hospital,Northwick Park SU,HA13UJ
1502,Brent 009D,NHS Brent CCG,North West London,London,3.43,Brent 009D,00AEGK,Barnhill,Northwick Park Hospital,Northwick Park SU,HA13UJ
1503,Brent 009B,NHS Brent CCG,North West London,London,0.69,Brent 009B,00AEGK,Barnhill,Northwick Park Hospital,Northwick Park SU,HA13UJ
1504,Brent 006A,NHS Brent CCG,North West London,London,1.03,Brent 006A,00AEGK,Barnhill,Northwick Park Hospital,Northwick Park SU,HA13UJ
1505,Brent 006D,NHS Brent CCG,North West London,London,2.4,Brent 006D,00AEGK,Barnhill,Northwick Park Hospital,Northwick Park SU,HA13UJ
1506,Brent 006E,NHS Brent CCG,North West London,London,0.34,Brent 006E,00AEGK,Barnhill,Northwick Park Hospital,Northwick Park SU,HA13UJ
1507,Brent 009C,NHS Brent CCG,North West London,London,5.14,Brent 009C,00AEGK,Barnhill,Northwick Park Hospital,Northwick Park SU,HA13UJ
1508,Barking and Dagenham 019E,NHS Barking and Dagenham CCG,North East London,London,2.74,Barking and Dagenham 019E,00ABGL,Thames,Queen's Hospital,Queens Romford SU,RM70AG
1509,Barking and Dagenham 022A,NHS Barking and Dagenham CCG,North East London,London,2.06,Barking and Dagenham 022A,00ABGL,Thames,Queen's Hospital,Queens Romford SU,RM70AG
1510,Barking and Dagenham 022B,NHS Barking and Dagenham CCG,North East London,London,1.71,Barking and Dagenham 022B,00ABGL,Thames,Queen's Hospital,Queens Romford SU,RM70AG
1511,Barking and Dagenham 022D,NHS Barking and Dagenham CCG,North East London,London,0.69,Barking and Dagenham 022D,00ABGL,Thames,Queen's Hospital,Queens Romford SU,RM70AG
1512,Barking and Dagenham 018E,NHS Barking and Dagenham CCG,North East London,London,2.4,Barking and Dagenham 018E,00ABGL,Thames,Queen's Hospital,Queens Romford SU,RM70AG
1513,Barking and Dagenham 022C,NHS Barking and Dagenham CCG,North East London,London,0.69,Barking and Dagenham 022C,00ABGL,Thames,Queen's Hospital,Queens Romford SU,RM70AG
1514,Barking and Dagenham 019D,NHS Barking and Dagenham CCG,North East London,London,0.69,Barking and Dagenham 019D,00ABGD,Gascoigne,Queen's Hospital,Queens Romford SU,RM70AG
1515,Barking and Dagenham 021F,NHS Barking and Dagenham CCG,North East London,London,0.69,Barking and Dagenham 021A,00ABGD,Gascoigne,Queen's Hospital,Queens Romford SU,RM70AG
1516,Barking and Dagenham 021E,NHS Barking and Dagenham CCG,North East London,London,0.34,Barking and Dagenham 021A,00ABGD,Gascoigne,Queen's Hospital,Queens Romford SU,RM70AG
1517,Barking and Dagenham 021C,NHS Barking and Dagenham CCG,North East London,London,3.09,Barking and Dagenham 021C,00ABGD,Gascoigne,Queen's Hospital,Queens Romford SU,RM70AG
1518,Barking and Dagenham 021D,NHS Barking and Dagenham CCG,North East London,London,0.34,Barking and Dagenham 021D,00ABGD,Gascoigne,Queen's Hospital,Queens Romford SU,RM70AG
1519,Barking and Dagenham 019C,NHS Barking and Dagenham CCG,North East London,London,3.43,Barking and Dagenham 019C,00ABGD,Gascoigne,Queen's Hospital,Queens Romford SU,RM70AG
1520,Barking and Dagenham 016D,NHS Barking and Dagenham CCG,North East London,London,2.06,Barking and Dagenham 016D,00ABGC,Eastbury,Queen's Hospital,Queens Romford SU,RM70AG
1521,Barking and Dagenham 021B,NHS Barking and Dagenham CCG,North East London,London,0,Barking and Dagenham 021B,00ABGD,Gascoigne,Queen's Hospital,Queens Romford SU,RM70AG
1522,Barking and Dagenham 015C,NHS Barking and Dagenham CCG,North East London,London,0.69,Barking and Dagenham 015C,00ABFX,Abbey,Queen's Hospital,Queens Romford SU,RM70AG
1523,Barking and Dagenham 015D,NHS Barking and Dagenham CCG,North East London,London,1.03,Barking and Dagenham 015D,00ABFX,Abbey,Queen's Hospital,Queens Romford SU,RM70AG
1524,Barking and Dagenham 015A,NHS Barking and Dagenham CCG,North East London,London,1.71,Barking and Dagenham 015A,00ABFX,Abbey,Queen's Hospital,Queens Romford SU,RM70AG
1525,Barking and Dagenham 015B,NHS Barking and Dagenham CCG,North East London,London,0.69,Barking and Dagenham 015B,00ABFX,Abbey,Queen's Hospital,Queens Romford SU,RM70AG
1526,Barking and Dagenham 016C,NHS Barking and Dagenham CCG,North East London,London,0.69,Barking and Dagenham 016C,00ABFX,Abbey,Queen's Hospital,Queens Romford SU,RM70AG
1527,Barking and Dagenham 016B,NHS Barking and Dagenham CCG,North East London,London,3.77,Barking and Dagenham 016B,00ABFX,Abbey,Queen's Hospital,Queens Romford SU,RM70AG
1528,Barking and Dagenham 011C,NHS Barking and Dagenham CCG,North East London,London,1.03,Barking and Dagenham 011C,00ABGG,Longbridge,Queen's Hospital,Queens Romford SU,RM70AG
1529,Barking and Dagenham 011A,NHS Barking and Dagenham CCG,North East London,London,0.69,Barking and Dagenham 011A,00ABGG,Longbridge,Queen's Hospital,Queens Romford SU,RM70AG
1530,Barking and Dagenham 011B,NHS Barking and Dagenham CCG,North East London,London,0.69,Barking and Dagenham 011B,00ABGG,Longbridge,Queen's Hospital,Queens Romford SU,RM70AG
1531,Barking and Dagenham 011D,NHS Barking and Dagenham CCG,North East London,London,2.4,Barking and Dagenham 011D,00ABGG,Longbridge,Queen's Hospital,Queens Romford SU,RM70AG
1532,Barking and Dagenham 017B,NHS Barking and Dagenham CCG,North East London,London,1.37,Barking and Dagenham 017B,00ABGC,Eastbury,Queen's Hospital,Queens Romford SU,RM70AG
1533,Barking and Dagenham 011E,NHS Barking and Dagenham CCG,North East London,London,2.06,Barking and Dagenham 011E,00ABGG,Longbridge,Queen's Hospital,Queens Romford SU,RM70AG
1534,Barking and Dagenham 019A,NHS Barking and Dagenham CCG,North East London,London,2.74,Barking and Dagenham 019A,00ABGC,Eastbury,Queen's Hospital,Queens Romford SU,RM70AG
1535,Barking and Dagenham 019B,NHS Barking and Dagenham CCG,North East London,London,1.03,Barking and Dagenham 019B,00ABGC,Eastbury,Queen's Hospital,Queens Romford SU,RM70AG
1536,Barking and Dagenham 016A,NHS Barking and Dagenham CCG,North East London,London,1.03,Barking and Dagenham 016A,00ABFX,Abbey,Queen's Hospital,Queens Romford SU,RM70AG
1537,Barking and Dagenham 016E,NHS Barking and Dagenham CCG,North East London,London,0.69,Barking and Dagenham 016E,00ABGG,Longbridge,Queen's Hospital,Queens Romford SU,RM70AG
1538,Redbridge 030H,NHS Redbridge CCG,North East London,London,0,Redbridge 030E,00BCGE,Clementswood,Queen's Hospital,Queens Romford SU,RM70AG
1539,Redbridge 030G,NHS Redbridge CCG,North East London,London,3.43,Redbridge 030G,00BCGE,Clementswood,Queen's Hospital,Queens Romford SU,RM70AG
1540,Redbridge 030D,NHS Redbridge CCG,North East London,London,1.71,Redbridge 030D,00BCGE,Clementswood,Queen's Hospital,Queens Romford SU,RM70AG
1541,Redbridge 030F,NHS Redbridge CCG,North East London,London,1.37,Redbridge 030F,00BCGE,Clementswood,Queen's Hospital,Queens Romford SU,RM70AG
1542,Redbridge 030C,NHS Redbridge CCG,North East London,London,1.37,Redbridge 030C,00BCGE,Clementswood,Queen's Hospital,Queens Romford SU,RM70AG
1543,Redbridge 030A,NHS Redbridge CCG,North East London,London,3.09,Redbridge 030A,00BCGE,Clementswood,Queen's Hospital,Queens Romford SU,RM70AG
1544,Redbridge 032C,NHS Redbridge CCG,North East London,London,1.37,Redbridge 032C,00BCGL,Loxford,Newham General Hospital,Newham General SU,E138SL
1545,Redbridge 030I,NHS Redbridge CCG,North East London,London,1.03,Redbridge 030E,00BCGE,Clementswood,Queen's Hospital,Queens Romford SU,RM70AG
1546,Redbridge 031G,NHS Redbridge CCG,North East London,London,2.4,Redbridge 031G,00BCGM,Mayfield,Queen's Hospital,Queens Romford SU,RM70AG
1547,Redbridge 032D,NHS Redbridge CCG,North East London,London,3.09,Redbridge 032D,00BCGL,Loxford,Newham General Hospital,Newham General SU,E138SL
1548,Redbridge 032A,NHS Redbridge CCG,North East London,London,3.09,Redbridge 032A,00BCGL,Loxford,Newham General Hospital,Newham General SU,E138SL
1549,Redbridge 032B,NHS Redbridge CCG,North East London,London,1.03,Redbridge 032B,00BCGL,Loxford,Newham General Hospital,Newham General SU,E138SL
1550,Redbridge 032E,NHS Redbridge CCG,North East London,London,2.4,Redbridge 032E,00BCGL,Loxford,Newham General Hospital,Newham General SU,E138SL
1551,Redbridge 033D,NHS Redbridge CCG,North East London,London,0.34,Redbridge 033D,00BCGL,Loxford,Newham General Hospital,Newham General SU,E138SL
1552,Redbridge 033B,NHS Redbridge CCG,North East London,London,0.69,Redbridge 033B,00BCGL,Loxford,Newham General Hospital,Newham General SU,E138SL
1553,Redbridge 033A,NHS Redbridge CCG,North East London,London,2.06,Redbridge 033A,00BCGL,Loxford,Newham General Hospital,Newham General SU,E138SL
1554,Redbridge 033C,NHS Redbridge CCG,North East London,London,1.71,Redbridge 033C,00BCGL,Loxford,Newham General Hospital,Newham General SU,E138SL
1555,Redbridge 030B,NHS Redbridge CCG,North East London,London,2.06,Redbridge 030B,00BCGE,Clementswood,Queen's Hospital,Queens Romford SU,RM70AG
1556,Redbridge 029C,NHS Redbridge CCG,North East London,London,1.71,Redbridge 029C,00BCGT,Valentines,Newham General Hospital,Newham General SU,E138SL
1557,Redbridge 029B,NHS Redbridge CCG,North East London,London,1.03,Redbridge 029B,00BCGT,Valentines,Newham General Hospital,Newham General SU,E138SL
1558,Redbridge 029D,NHS Redbridge CCG,North East London,London,2.4,Redbridge 029D,00BCGT,Valentines,Newham General Hospital,Newham General SU,E138SL
1559,Redbridge 035E,NHS Redbridge CCG,North East London,London,1.71,Redbridge 021C,00BCGF,Cranbrook,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1560,Redbridge 035B,NHS Redbridge CCG,North East London,London,1.37,Redbridge 025A,00BCGF,Cranbrook,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1561,Redbridge 035F,NHS Redbridge CCG,North East London,London,3.09,Redbridge 025C,00BCGF,Cranbrook,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1562,Redbridge 035D,NHS Redbridge CCG,North East London,London,1.37,Redbridge 025B,00BCGF,Cranbrook,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1563,Redbridge 035G,NHS Redbridge CCG,North East London,London,2.06,Redbridge 021D,00BCGF,Cranbrook,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1564,Redbridge 035C,NHS Redbridge CCG,North East London,London,2.4,Redbridge 021B,00BCGF,Cranbrook,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1565,Redbridge 035H,NHS Redbridge CCG,North East London,London,0.69,Redbridge 025D,00BCGF,Cranbrook,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1566,Redbridge 023D,NHS Redbridge CCG,North East London,London,1.03,Redbridge 023D,00BCGP,Newbury,Queen's Hospital,Queens Romford SU,RM70AG
1567,Redbridge 026B,NHS Redbridge CCG,North East London,London,0.69,Redbridge 026B,00BCGT,Valentines,Newham General Hospital,Newham General SU,E138SL
1568,Redbridge 029A,NHS Redbridge CCG,North East London,London,3.09,Redbridge 029A,00BCGT,Valentines,Newham General Hospital,Newham General SU,E138SL
1569,Redbridge 026A,NHS Redbridge CCG,North East London,London,2.74,Redbridge 026A,00BCGT,Valentines,Newham General Hospital,Newham General SU,E138SL
1570,Redbridge 026D,NHS Redbridge CCG,North East London,London,0.69,Redbridge 026D,00BCGT,Valentines,Newham General Hospital,Newham General SU,E138SL
1571,Redbridge 026C,NHS Redbridge CCG,North East London,London,0.69,Redbridge 026C,00BCGT,Valentines,Newham General Hospital,Newham General SU,E138SL
1572,Redbridge 023B,NHS Redbridge CCG,North East London,London,2.06,Redbridge 023B,00BCGP,Newbury,Queen's Hospital,Queens Romford SU,RM70AG
1573,Redbridge 023A,NHS Redbridge CCG,North East London,London,3.09,Redbridge 023A,00BCGP,Newbury,Queen's Hospital,Queens Romford SU,RM70AG
1574,Redbridge 035A,NHS Redbridge CCG,North East London,London,3.09,Redbridge 021A,00BCGF,Cranbrook,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1575,Redbridge 017C,NHS Redbridge CCG,North East London,London,0.69,Redbridge 017C,00BCFY,Aldborough,Queen's Hospital,Queens Romford SU,RM70AG
1576,Redbridge 015A,NHS Redbridge CCG,North East London,London,1.71,Redbridge 015A,00BCFZ,Barkingside,Queen's Hospital,Queens Romford SU,RM70AG
1577,Redbridge 015D,NHS Redbridge CCG,North East London,London,1.71,Redbridge 015D,00BCFZ,Barkingside,Queen's Hospital,Queens Romford SU,RM70AG
1578,Redbridge 012D,NHS Redbridge CCG,North East London,London,2.74,Redbridge 012D,00BCFZ,Barkingside,Queen's Hospital,Queens Romford SU,RM70AG
1579,Redbridge 012C,NHS Redbridge CCG,North East London,London,1.03,Redbridge 012C,00BCFZ,Barkingside,Queen's Hospital,Queens Romford SU,RM70AG
1580,Redbridge 015C,NHS Redbridge CCG,North East London,London,2.06,Redbridge 015C,00BCFZ,Barkingside,Queen's Hospital,Queens Romford SU,RM70AG
1581,Redbridge 020D,NHS Redbridge CCG,North East London,London,2.74,Redbridge 020D,00BCGP,Newbury,Queen's Hospital,Queens Romford SU,RM70AG
1582,Redbridge 023C,NHS Redbridge CCG,North East London,London,2.4,Redbridge 023C,00BCGP,Newbury,Queen's Hospital,Queens Romford SU,RM70AG
1583,Redbridge 020B,NHS Redbridge CCG,North East London,London,3.09,Redbridge 020B,00BCGP,Newbury,Queen's Hospital,Queens Romford SU,RM70AG
1584,Redbridge 020C,NHS Redbridge CCG,North East London,London,2.06,Redbridge 020C,00BCGP,Newbury,Queen's Hospital,Queens Romford SU,RM70AG
1585,Redbridge 017D,NHS Redbridge CCG,North East London,London,4.46,Redbridge 017D,00BCFY,Aldborough,Queen's Hospital,Queens Romford SU,RM70AG
1586,Redbridge 013D,NHS Redbridge CCG,North East London,London,1.37,Redbridge 013D,00BCFY,Aldborough,Queen's Hospital,Queens Romford SU,RM70AG
1587,Redbridge 013C,NHS Redbridge CCG,North East London,London,2.06,Redbridge 013C,00BCFY,Aldborough,Queen's Hospital,Queens Romford SU,RM70AG
1588,Redbridge 013B,NHS Redbridge CCG,North East London,London,1.71,Redbridge 013B,00BCFY,Aldborough,Queen's Hospital,Queens Romford SU,RM70AG
1589,Redbridge 034B,NHS Redbridge CCG,North East London,London,2.4,Redbridge 028B,00BCGJ,Goodmayes,Queen's Hospital,Queens Romford SU,RM70AG
1590,Redbridge 019I,NHS Redbridge CCG,North East London,London,0.69,Redbridge 019G,00BCGB,Chadwell,Queen's Hospital,Queens Romford SU,RM70AG
1591,Redbridge 020A,NHS Redbridge CCG,North East London,London,1.03,Redbridge 020A,00BCGP,Newbury,Queen's Hospital,Queens Romford SU,RM70AG
1592,Redbridge 024C,NHS Redbridge CCG,North East London,London,1.03,Redbridge 024C,00BCGR,Seven Kings,Queen's Hospital,Queens Romford SU,RM70AG
1593,Redbridge 024D,NHS Redbridge CCG,North East London,London,3.77,Redbridge 024D,00BCGR,Seven Kings,Queen's Hospital,Queens Romford SU,RM70AG
1594,Redbridge 024A,NHS Redbridge CCG,North East London,London,2.4,Redbridge 024A,00BCGR,Seven Kings,Queen's Hospital,Queens Romford SU,RM70AG
1595,Redbridge 024B,NHS Redbridge CCG,North East London,London,0.69,Redbridge 024B,00BCGR,Seven Kings,Queen's Hospital,Queens Romford SU,RM70AG
1596,Redbridge 022A,NHS Redbridge CCG,North East London,London,1.71,Redbridge 022A,00BCGR,Seven Kings,Queen's Hospital,Queens Romford SU,RM70AG
1597,Redbridge 022C,NHS Redbridge CCG,North East London,London,2.4,Redbridge 022C,00BCGR,Seven Kings,Queen's Hospital,Queens Romford SU,RM70AG
1598,Redbridge 022B,NHS Redbridge CCG,North East London,London,4.11,Redbridge 022B,00BCGR,Seven Kings,Queen's Hospital,Queens Romford SU,RM70AG
1599,Redbridge 031D,NHS Redbridge CCG,North East London,London,2.4,Redbridge 031D,00BCGM,Mayfield,Queen's Hospital,Queens Romford SU,RM70AG
1600,Redbridge 031E,NHS Redbridge CCG,North East London,London,3.43,Redbridge 031E,00BCGM,Mayfield,Queen's Hospital,Queens Romford SU,RM70AG
1601,Redbridge 031B,NHS Redbridge CCG,North East London,London,1.03,Redbridge 031B,00BCGM,Mayfield,Queen's Hospital,Queens Romford SU,RM70AG
1602,Redbridge 031C,NHS Redbridge CCG,North East London,London,1.71,Redbridge 031C,00BCGM,Mayfield,Queen's Hospital,Queens Romford SU,RM70AG
1603,Redbridge 031A,NHS Redbridge CCG,North East London,London,2.74,Redbridge 031A,00BCGM,Mayfield,Queen's Hospital,Queens Romford SU,RM70AG
1604,Redbridge 034D,NHS Redbridge CCG,North East London,London,1.71,Redbridge 028D,00BCGJ,Goodmayes,Queen's Hospital,Queens Romford SU,RM70AG
1605,Redbridge 034E,NHS Redbridge CCG,North East London,London,2.74,Redbridge 028F,00BCGJ,Goodmayes,Queen's Hospital,Queens Romford SU,RM70AG
1606,Redbridge 034F,NHS Redbridge CCG,North East London,London,3.43,Redbridge 028G,00BCGJ,Goodmayes,Queen's Hospital,Queens Romford SU,RM70AG
1607,Redbridge 034A,NHS Redbridge CCG,North East London,London,1.71,Redbridge 028A,00BCGJ,Goodmayes,Queen's Hospital,Queens Romford SU,RM70AG
1608,Redbridge 034C,NHS Redbridge CCG,North East London,London,2.06,Redbridge 028C,00BCGJ,Goodmayes,Queen's Hospital,Queens Romford SU,RM70AG
1609,Redbridge 031F,NHS Redbridge CCG,North East London,London,0.69,Redbridge 031F,00BCGM,Mayfield,Queen's Hospital,Queens Romford SU,RM70AG
1610,Redbridge 036A,NHS Redbridge CCG,North East London,London,2.06,Redbridge 016A,00BCGD,Clayhall,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1611,Redbridge 036B,NHS Redbridge CCG,North East London,London,1.71,Redbridge 016B,00BCGD,Clayhall,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1612,Redbridge 012A,NHS Redbridge CCG,North East London,London,1.71,Redbridge 012A,00BCFZ,Barkingside,Queen's Hospital,Queens Romford SU,RM70AG
1613,Redbridge 036H,NHS Redbridge CCG,North East London,London,1.03,Redbridge 016D,00BCGD,Clayhall,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1614,Redbridge 036C,NHS Redbridge CCG,North East London,London,2.74,Redbridge 016C,00BCGD,Clayhall,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1615,Redbridge 036F,NHS Redbridge CCG,North East London,London,1.03,Redbridge 011C,00BCGD,Clayhall,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1616,Redbridge 036G,NHS Redbridge CCG,North East London,London,0.69,Redbridge 011D,00BCGD,Clayhall,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1617,Redbridge 036D,NHS Redbridge CCG,North East London,London,2.4,Redbridge 011A,00BCGD,Clayhall,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1618,Redbridge 036E,NHS Redbridge CCG,North East London,London,2.4,Redbridge 011B,00BCGD,Clayhall,Whipps Cross University Hospital,Whipps Cross SU,E111NR
1619,Redbridge 008D,NHS Redbridge CCG,North East London,London,2.4,Redbridge 008D,00BCGH,Fullwell,Queen's Hospital,Queens Romford SU,RM70AG
1620,Redbridge 008A,NHS Redbridge CCG,North East London,London,0.69,Redbridge 008A,00BCGH,Fullwell,Queen's Hospital,Queens Romford SU,RM70AG
1621,Redbridge 008B,NHS Redbridge CCG,North East London,London,1.71,Redbridge 008B,00BCGH,Fullwell,Queen's Hospital,Queens Romford SU,RM70AG
1622,Redbridge 010D,NHS Redbridge CCG,North East London,London,1.71,Redbridge 010D,00BCGH,Fullwell,Queen's Hospital,Queens Romford SU,RM70AG
1623,Redbridge 008C,NHS Redbridge CCG,North East London,London,3.09,Redbridge 008C,00BCGH,Fullwell,Queen's Hospital,Queens Romford SU,RM70AG
1624,Redbridge 010B,NHS Redbridge CCG,North East London,London,2.06,Redbridge 010B,00BCGH,Fullwell,Queen's Hospital,Queens Romford SU,RM70AG
